"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,2016-11-01,"144","BOS","ATL",6.00,-6.00,0.00,"",,,,,,
2016,2016-11-02,"144","BOS","ATL",-6.00,-16.00,0.00,"",,,,,,
2016,2016-11-03,"144","BOS","ATL",-5.00,-16.00,0.00,"",,,,,,
2016,2016-11-04,"144","BOS","ATL",-13.00,-43.00,0.00,"",,,,,,
2016,2016-11-05,"144","BOS","ATL",8.00,-6.00,0.00,"",,,,,,
2016,2016-11-06,"144","BOS","ATL",-3.00,-19.00,0.00,"",,,,,,
2016,2016-11-07,"144","BOS","ATL",-3.00,-16.00,0.00,"",,,,,,
2016,2016-11-08,"144","BOS","ATL",-4.00,-20.00,0.00,"",,,,,,
2016,2016-11-09,"144","BOS","ATL",38.00,17.00,0.00,"",3.00,0.00,1.00,0.00,13.00,
2016,2016-11-10,"146","BOS","ATL",9.00,-20.00,0.00,"",,,,,,
2016,2016-11-11,"146","BOS","ATL",2.00,-10.00,0.00,"",,,,,,
2016,2016-11-12,"146","BOS","ATL",0.00,-21.00,0.00,"",,,,,,
2016,2016-11-13,"146","BOS","ATL",13.00,13.00,0.00,"",,,,,,
2016,2016-11-14,"146","BOS","ATL",2.00,-14.00,0.00,"",,,,,,
2016,2016-11-15,"146","BOS","ATL",-1.00,-30.00,0.00,"",,,,,,
2016,2016-11-16,"146","BOS","ATL",23.00,-15.00,0.00,"",,,,,,
2016,2016-11-17,"146","BOS","ATL",12.00,-21.00,0.00,"",,,,,,
2016,2016-11-18,"146","BOS","ATL",25.00,2.00,0.00,"",,,,,,
2016,2016-11-19,"146","BOS","ATL",26.00,2.00,0.00,"",,,,,,
2016,2016-11-20,"146","BOS","ATL",60.00,28.00,0.00,"",21.00,0.00,7.00,0.00,0.00,
2016,2016-11-21,"146","BOS","ATL",10.00,-20.00,0.00,"",,,,,,
2016,2016-11-22,"146","BOS","ATL",-1.00,-18.00,0.00,"",,,,,,
2016,2016-11-23,"146","BOS","ATL",18.00,6.00,0.00,"",,,,,,
2016,2016-11-24,"146","BOS","ATL",-7.00,-34.00,0.00,"",,,,,,
2016,2016-11-25,"146","BOS","ATL",-1.00,-20.00,0.00,"",,,,,,
2016,2016-11-26,"146","BOS","ATL",2.00,-26.00,0.00,"",,,,,,
2016,2016-11-27,"146","BOS","ATL",-3.00,-29.00,0.00,"",,,,,,
2016,2016-11-28,"146","BOS","ATL",111.00,111.00,0.00,"",6.00,0.00,5.00,0.00,100.00,
2016,2016-11-29,"146","BOS","ATL",20.00,26.00,0.00,"",7.00,0.00,19.00,0.00,0.00,
2016,2016-11-30,"146","BOS","ATL",0.00,-2.00,0.00,"",,,,,,
2016,2016-11-01,"163","ATL","BOS",-10.00,-12.00,0.00,"",,,,,,
2016,2016-11-02,"163","ATL","BOS",-4.00,5.00,0.00,"",,,,,,
2016,2016-11-03,"163","ATL","BOS",-7.00,0.00,0.00,"",,,,,,
2016,2016-11-04,"163","ATL","BOS",152.00,169.00,0.00,"",152.00,0.00,17.00,0.00,0.00,
2016,2016-11-05,"163","ATL","BOS",-8.00,-13.00,0.00,"",,,,,,
2016,2016-11-06,"163","ATL","BOS",21.00,31.00,0.00,"",0.00,0.00,10.00,0.00,21.00,
2016,2016-11-07,"163","ATL","BOS",0.00,2.00,0.00,"",,,,,,
2016,2016-11-08,"163","ATL","BOS",-5.00,-13.00,0.00,"",,,,,,
2016,2016-11-09,"163","ATL","BOS",18.00,28.00,0.00,"",0.00,0.00,10.00,0.00,18.00,
2016,2016-11-10,"163","ATL","BOS",-7.00,21.00,0.00,"",0.00,0.00,21.00,0.00,0.00,
2016,2016-11-11,"163","ATL","BOS",-7.00,7.00,0.00,"",,,,,,
2016,2016-11-12,"163","ATL","BOS",-7.00,-5.00,0.00,"",,,,,,
2016,2016-11-13,"163","ATL","BOS",-6.00,1.00,0.00,"",,,,,,
2016,2016-11-14,"163","ATL","BOS",-7.00,5.00,0.00,"",,,,,,
2016,2016-11-15,"163","ATL","BOS",-9.00,2.00,0.00,"",,,,,,
2016,2016-11-16,"163","ATL","BOS",-4.00,20.00,0.00,"",0.00,0.00,20.00,0.00,0.00,
2016,2016-11-17,"163","ATL","BOS",-3.00,19.00,0.00,"",0.00,0.00,19.00,0.00,0.00,
2016,2016-11-18,"163","ATL","BOS",31.00,37.00,0.00,"",0.00,0.00,37.00,0.00,0.00,
2016,2016-11-19,"163","ATL","BOS",-1.00,12.00,0.00,"",,,,,,
2016,2016-11-20,"163","ATL","BOS",-4.00,13.00,0.00,"",,,,,,
2016,2016-11-21,"163","ATL","BOS",-5.00,-2.00,0.00,"",,,,,,
2016,2016-11-22,"163","ATL","BOS",-7.00,-5.00,0.00,"",,,,,,
2016,2016-11-23,"163","ATL","BOS",-7.00,-5.00,0.00,"",,,,,,
2016,2016-11-24,"163","ATL","BOS",-8.00,-10.00,0.00,"",,,,,,
