"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,2018-05-31,"2402","LAX","BOS",11.00,-4.00,0.00,"",,,,,,
2018,2018-05-31,"2400","BOS","SFO",265.00,261.00,0.00,"",0.00,0.00,9.00,0.00,252.00,
2018,2018-05-31,"2396","SFO","BOS",-9.00,17.00,0.00,"",0.00,0.00,17.00,0.00,0.00,
2018,2018-05-31,"2394","BOS","EWR",-7.00,7.00,0.00,"",,,,,,
2018,2018-05-31,"2321","EWR","BOS",-8.00,3.00,0.00,"",,,,,,
2018,2018-05-31,"2294","BOS","SFO",1.00,0.00,0.00,"",,,,,,
2018,2018-05-31,"2264","SFO","BOS",12.00,-12.00,0.00,"",,,,,,
2018,2018-05-31,"2214","BOS","DEN",-10.00,-22.00,0.00,"",,,,,,
2018,2018-05-31,"2154","LAX","BOS",0.00,-16.00,0.00,"",,,,,,
2018,2018-05-31,"2136","BOS","IAD",215.00,195.00,0.00,"",0.00,0.00,0.00,0.00,195.00,
2018,2018-05-31,"2062","EWR","BOS",113.00,115.00,0.00,"",3.00,0.00,2.00,0.00,110.00,
2018,2018-05-31,"2047","BOS","EWR",61.00,65.00,0.00,"",0.00,0.00,65.00,0.00,0.00,
2018,2018-05-31,"2047","IAH","BOS",87.00,81.00,0.00,"",0.00,0.00,81.00,0.00,0.00,
2018,2018-05-31,"2045","BOS","IAH",32.00,26.00,0.00,"",5.00,0.00,0.00,0.00,21.00,
2018,2018-05-31,"2045","EWR","BOS",6.00,5.00,0.00,"",,,,,,
2018,2018-05-31,"1946","BOS","EWR",75.00,66.00,0.00,"",0.00,0.00,66.00,0.00,0.00,
2018,2018-05-31,"1928","BOS","EWR",-12.00,-19.00,0.00,"",,,,,,
2018,2018-05-31,"1888","IAH","BOS",9.00,-5.00,0.00,"",,,,,,
2018,2018-05-31,"1865","SFO","BOS",4.00,-19.00,0.00,"",,,,,,
2018,2018-05-31,"1820","BOS","LAX",-5.00,11.00,0.00,"",,,,,,
2018,2018-05-31,"1666","EWR","BOS",-5.00,-18.00,0.00,"",,,,,,
2018,2018-05-31,"1629","EWR","BOS",-4.00,-9.00,0.00,"",,,,,,
2018,2018-05-31,"1606","DEN","BOS",-7.00,-3.00,0.00,"",,,,,,
2018,2018-05-31,"1598","BOS","ORD",-5.00,-28.00,0.00,"",,,,,,
2018,2018-05-31,"1578","IAH","BOS",58.00,43.00,0.00,"",43.00,0.00,0.00,0.00,0.00,
2018,2018-05-31,"1564","BOS","ORD",0.00,-9.00,0.00,"",,,,,,
2018,2018-05-31,"1551","BOS","EWR",97.00,100.00,0.00,"",0.00,0.00,100.00,0.00,0.00,
2018,2018-05-31,"1425","BOS","EWR",90.00,83.00,0.00,"",0.00,0.00,83.00,0.00,0.00,
2018,2018-05-31,"1420","ORD","BOS",-5.00,-4.00,0.00,"",,,,,,
2018,2018-05-31,"1413","SFO","BOS",-4.00,-22.00,0.00,"",,,,,,
2018,2018-05-31,"1254","BOS","IAH",-6.00,-21.00,0.00,"",,,,,,
2018,2018-05-31,"1253","IAH","BOS",-5.00,-14.00,0.00,"",,,,,,
2018,2018-05-31,"1251","BOS","ORD",-2.00,-23.00,0.00,"",,,,,,
2018,2018-05-31,"1223","ORD","BOS",0.00,9.00,0.00,"",,,,,,
2018,2018-05-31,"1202","EWR","BOS",9.00,-8.00,0.00,"",,,,,,
2018,2018-05-31,"1196","BOS","DEN",74.00,63.00,0.00,"",0.00,0.00,3.00,0.00,60.00,
2018,2018-05-31,"1083","EWR","BOS",-9.00,-26.00,0.00,"",,,,,,
2018,2018-05-31,"1078","BOS","EWR",-6.00,-18.00,0.00,"",,,,,,
2018,2018-05-31,"1061","IAH","BOS",18.00,16.00,0.00,"",0.00,0.00,16.00,0.00,0.00,
2018,2018-05-31,"1059","SFO","BOS",-7.00,-3.00,0.00,"",,,,,,
2018,2018-05-31,"994","EWR","BOS",39.00,26.00,0.00,"",26.00,0.00,0.00,0.00,0.00,
2018,2018-05-31,"992","ORD","BOS",1.00,-7.00,0.00,"",,,,,,
2018,2018-05-31,"913","ORD","BOS",-1.00,9.00,0.00,"",,,,,,
2018,2018-05-31,"824","LAX","BOS",7.00,-3.00,0.00,"",,,,,,
2018,2018-05-31,"822","IAD","BOS",116.00,226.00,0.00,"",0.00,116.00,110.00,0.00,0.00,
2018,2018-05-31,"790","ORD","BOS",83.00,91.00,0.00,"",8.00,0.00,8.00,0.00,75.00,
2018,2018-05-31,"789","DEN","BOS",26.00,62.00,0.00,"",15.00,0.00,36.00,0.00,11.00,
2018,2018-05-31,"775","BOS","ORD",-8.00,-34.00,0.00,"",,,,,,
2018,2018-05-31,"768","SFO","BOS",276.00,268.00,0.00,"",268.00,0.00,0.00,0.00,0.00,
