"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,2018-12-17,"3527","MKE","BOS",-7.00,-17.00,0.00,"",,,,,,
2018,2018-12-17,"3582","BOS","CHS",24.00,11.00,0.00,"",,,,,,
2018,2018-12-17,"3583","CHS","BOS",-7.00,-6.00,0.00,"",,,,,,
2018,2018-12-17,"3729","JFK","BOS",8.00,3.00,0.00,"",,,,,,
2018,2018-12-17,"3752","BOS","JFK",1.00,-14.00,0.00,"",,,,,,
2018,2018-12-17,"3810","BOS","MKE",-6.00,-19.00,0.00,"",,,,,,
2018,2018-12-17,"3823","BOS","JAX",86.00,91.00,0.00,"",0.00,86.00,5.00,0.00,0.00,
2018,2018-12-17,"3827","BOS","PHL",125.00,126.00,0.00,"",0.00,31.00,1.00,0.00,94.00,
2018,2018-12-17,"3859","JAX","BOS",93.00,94.00,0.00,"",0.00,2.00,1.00,0.00,91.00,
2018,2018-12-17,"3949","BOS","BNA",111.00,69.00,0.00,"",0.00,0.00,0.00,0.00,69.00,
2018,2018-12-17,"3951","BNA","BOS",-5.00,41.00,0.00,"",0.00,0.00,41.00,0.00,0.00,
2018,2018-12-17,"4125","PHL","BOS",124.00,124.00,0.00,"",0.00,0.00,0.00,0.00,124.00,
2018,2018-12-18,"3527","MKE","BOS",-8.00,-12.00,0.00,"",,,,,,
2018,2018-12-18,"3582","BOS","CHS",12.00,5.00,0.00,"",,,,,,
2018,2018-12-18,"3583","CHS","BOS",-6.00,-1.00,0.00,"",,,,,,
2018,2018-12-18,"3729","JFK","BOS",-2.00,-6.00,0.00,"",,,,,,
2018,2018-12-18,"3752","BOS","JFK",0.00,-10.00,0.00,"",,,,,,
2018,2018-12-18,"3810","BOS","MKE",-9.00,-13.00,0.00,"",,,,,,
2018,2018-12-18,"3823","BOS","JAX",-2.00,-6.00,0.00,"",,,,,,
2018,2018-12-18,"3827","BOS","PHL",-3.00,-7.00,0.00,"",,,,,,
2018,2018-12-18,"3859","JAX","BOS",2.00,1.00,0.00,"",,,,,,
2018,2018-12-18,"3949","BOS","BNA",-6.00,-49.00,0.00,"",,,,,,
2018,2018-12-18,"3951","BNA","BOS",-12.00,17.00,0.00,"",0.00,0.00,17.00,0.00,0.00,
2018,2018-12-25,"2432","STL","BOS",1.00,-6.00,0.00,"",,,,,,
2018,2018-12-25,"3003","STL","BOS",-2.00,-17.00,0.00,"",,,,,,
2018,2018-12-26,"3709","ATL","BOS",40.00,38.00,0.00,"",11.00,0.00,0.00,0.00,27.00,
2018,2018-12-26,"4575","ATL","BOS",16.00,10.00,0.00,"",,,,,,
2018,2018-12-26,"5902","ATL","BOS",-2.00,-11.00,0.00,"",,,,,,
2018,2018-12-26,"6812","AUS","BOS",5.00,-7.00,0.00,"",,,,,,
2018,2018-12-26,"914","BNA","BOS",9.00,3.00,0.00,"",,,,,,
2018,2018-12-26,"2704","BNA","BOS",11.00,-2.00,0.00,"",,,,,,
2018,2018-12-26,"5583","BNA","BOS",-1.00,-3.00,0.00,"",,,,,,
2018,2018-12-26,"937","BOS","ATL",11.00,-3.00,0.00,"",,,,,,
2018,2018-12-26,"1191","BOS","ATL",-9.00,-27.00,0.00,"",,,,,,
2018,2018-12-26,"3022","BOS","ATL",29.00,10.00,0.00,"",,,,,,
2018,2018-12-26,"3110","BOS","AUS",29.00,10.00,0.00,"",,,,,,
2018,2018-12-26,"2716","BOS","BNA",-4.00,-9.00,0.00,"",,,,,,
2018,2018-12-26,"2863","BOS","BNA",1.00,5.00,0.00,"",,,,,,
2018,2018-12-26,"6904","BOS","BNA",35.00,19.00,0.00,"",19.00,0.00,0.00,0.00,0.00,
