"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017,2017-03-01,"2303","BOS","DFW",-6.00,17.00,0.00,"",0.00,0.00,17.00,0.00,0.00,
2017,2017-03-02,"2303","BOS","DFW",-8.00,-3.00,0.00,"",,,,,,
2017,2017-03-03,"2303","BOS","DFW",-7.00,-17.00,0.00,"",,,,,,
2017,2017-03-04,"2303","BOS","DFW",-7.00,-6.00,0.00,"",,,,,,
2017,2017-03-05,"2303","BOS","DFW",2.00,-25.00,0.00,"",,,,,,
2017,2017-03-06,"2303","BOS","DFW",-2.00,-30.00,0.00,"",,,,,,
2017,2017-03-07,"2303","BOS","DFW",-5.00,-5.00,0.00,"",,,,,,
2017,2017-03-08,"2303","BOS","DFW",-5.00,-7.00,0.00,"",,,,,,
2017,2017-03-09,"2303","BOS","DFW",-7.00,-15.00,0.00,"",,,,,,
2017,2017-03-10,"2303","BOS","DFW",-4.00,-8.00,0.00,"",,,,,,
2017,2017-03-11,"2303","BOS","DFW",80.00,88.00,0.00,"",80.00,0.00,8.00,0.00,0.00,
2017,2017-03-12,"2303","BOS","DFW",1.00,-10.00,0.00,"",,,,,,
2017,2017-03-13,"2303","BOS","DFW",-5.00,-11.00,0.00,"",,,,,,
2017,2017-03-14,"2303","BOS","DFW",,,1.00,"B",,,,,,
2017,2017-03-15,"2303","BOS","DFW",,,1.00,"B",,,,,,
2017,2017-03-16,"2303","BOS","DFW",-5.00,-36.00,0.00,"",,,,,,
2017,2017-03-17,"2303","BOS","DFW",-1.00,-30.00,0.00,"",,,,,,
2017,2017-03-18,"2303","BOS","DFW",0.00,-25.00,0.00,"",,,,,,
2017,2017-03-19,"2303","BOS","DFW",13.00,-18.00,0.00,"",,,,,,
2017,2017-03-20,"2303","BOS","DFW",-5.00,-40.00,0.00,"",,,,,,
2017,2017-03-21,"2303","BOS","DFW",0.00,-29.00,0.00,"",,,,,,
2017,2017-03-22,"2303","BOS","DFW",-1.00,-17.00,0.00,"",,,,,,
2017,2017-03-23,"2303","BOS","DFW",-2.00,-40.00,0.00,"",,,,,,
2017,2017-03-24,"2303","BOS","DFW",-7.00,-12.00,0.00,"",,,,,,
2017,2017-03-25,"2303","BOS","DFW",0.00,-16.00,0.00,"",,,,,,
2017,2017-03-26,"2303","BOS","DFW",-6.00,-40.00,0.00,"",,,,,,
2017,2017-03-27,"2303","BOS","DFW",86.00,71.00,0.00,"",71.00,0.00,0.00,0.00,0.00,
2017,2017-03-28,"2303","BOS","DFW",-8.00,-34.00,0.00,"",,,,,,
2017,2017-03-29,"2303","BOS","DFW",18.00,-12.00,0.00,"",,,,,,
2017,2017-03-30,"2303","BOS","DFW",-4.00,-36.00,0.00,"",,,,,,
2017,2017-03-31,"2303","BOS","DFW",-4.00,-20.00,0.00,"",,,,,,
2017,2017-03-01,"2328","DFW","BOS",2.00,-14.00,0.00,"",,,,,,
2017,2017-03-02,"2328","DFW","BOS",-5.00,-9.00,0.00,"",,,,,,
2017,2017-03-03,"2328","DFW","BOS",314.00,305.00,0.00,"",0.00,0.00,0.00,0.00,305.00,
2017,2017-03-04,"2328","DFW","BOS",-4.00,-1.00,0.00,"",,,,,,
2017,2017-03-05,"2328","DFW","BOS",-5.00,19.00,0.00,"",0.00,0.00,19.00,0.00,0.00,
2017,2017-03-06,"2328","DFW","BOS",45.00,52.00,0.00,"",45.00,0.00,7.00,0.00,0.00,
2017,2017-03-07,"2328","DFW","BOS",-2.00,-2.00,0.00,"",,,,,,
2017,2017-03-08,"2328","DFW","BOS",-3.00,-6.00,0.00,"",,,,,,
2017,2017-03-09,"2328","DFW","BOS",-2.00,-8.00,0.00,"",,,,,,
2017,2017-03-10,"2328","DFW","BOS",83.00,97.00,0.00,"",83.00,0.00,14.00,0.00,0.00,
2017,2017-03-11,"2328","DFW","BOS",37.00,32.00,0.00,"",0.00,0.00,0.00,0.00,32.00,
2017,2017-03-12,"2328","DFW","BOS",-1.00,12.00,0.00,"",,,,,,
2017,2017-03-13,"2328","DFW","BOS",,,1.00,"B",,,,,,
2017,2017-03-14,"2328","DFW","BOS",,,1.00,"B",,,,,,
2017,2017-03-15,"2328","DFW","BOS",-6.00,13.00,0.00,"",,,,,,
2017,2017-03-16,"2328","DFW","BOS",2.00,20.00,0.00,"",2.00,0.00,18.00,0.00,0.00,
2017,2017-03-17,"2328","DFW","BOS",-3.00,10.00,0.00,"",,,,,,
