"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017,2017-12-01,"4159","BOS","CLE",-10.00,-24.00,0.00,"",,,,,,
2017,2017-12-02,"4159","BOS","CLE",-9.00,-32.00,0.00,"",,,,,,
2017,2017-12-03,"4159","BOS","CLE",-4.00,-17.00,0.00,"",,,,,,
2017,2017-12-04,"4159","BOS","CLE",25.00,11.00,0.00,"",,,,,,
2017,2017-12-05,"4159","BOS","CLE",39.00,39.00,0.00,"",0.00,0.00,0.00,0.00,39.00,
2017,2017-12-06,"4159","BOS","CLE",-22.00,-27.00,0.00,"",,,,,,
2017,2017-12-07,"4159","BOS","CLE",14.00,21.00,0.00,"",1.00,0.00,7.00,0.00,13.00,
2017,2017-12-08,"4159","BOS","CLE",-11.00,-12.00,0.00,"",,,,,,
2017,2017-12-09,"4159","BOS","CLE",,,1.00,"C",,,,,,
2017,2017-12-10,"4159","BOS","CLE",1.00,-5.00,0.00,"",,,,,,
2017,2017-12-11,"4159","BOS","CLE",-5.00,-11.00,0.00,"",,,,,,
2017,2017-12-12,"4159","BOS","CLE",12.00,-2.00,0.00,"",,,,,,
2017,2017-12-13,"4159","BOS","CLE",2.00,1.00,0.00,"",,,,,,
2017,2017-12-14,"4159","BOS","CLE",-10.00,-13.00,0.00,"",,,,,,
2017,2017-12-15,"4159","BOS","CLE",,,1.00,"C",,,,,,
2017,2017-12-16,"4159","BOS","CLE",-8.00,-5.00,0.00,"",,,,,,
2017,2017-12-17,"4159","BOS","CLE",-9.00,-18.00,0.00,"",,,,,,
2017,2017-12-18,"4159","BOS","CLE",-11.00,-16.00,0.00,"",,,,,,
2017,2017-12-19,"4159","BOS","CLE",-9.00,-8.00,0.00,"",,,,,,
2017,2017-12-20,"4159","BOS","CLE",-10.00,-25.00,0.00,"",,,,,,
2017,2017-12-21,"4159","BOS","CLE",-16.00,-23.00,0.00,"",,,,,,
2017,2017-12-22,"4159","BOS","CLE",1.00,-4.00,0.00,"",,,,,,
2017,2017-12-23,"4159","BOS","CLE",132.00,120.00,0.00,"",120.00,0.00,0.00,0.00,0.00,
2017,2017-12-25,"4159","BOS","CLE",47.00,41.00,0.00,"",0.00,0.00,0.00,0.00,41.00,
2017,2017-12-26,"4159","BOS","CLE",-12.00,-10.00,0.00,"",,,,,,
2017,2017-12-27,"4159","BOS","CLE",-6.00,-18.00,0.00,"",,,,,,
2017,2017-12-28,"4159","BOS","CLE",-9.00,-21.00,0.00,"",,,,,,
2017,2017-12-29,"4159","BOS","CLE",-4.00,-18.00,0.00,"",,,,,,
2017,2017-12-30,"4159","BOS","CLE",-6.00,1.00,0.00,"",,,,,,
2017,2017-12-02,"4257","EWR","BOS",-7.00,-22.00,0.00,"",,,,,,
2017,2017-12-09,"4257","EWR","BOS",,,1.00,"C",,,,,,
2017,2017-12-16,"4257","EWR","BOS",-4.00,-9.00,0.00,"",,,,,,
2017,2017-12-01,"4267","CLE","BOS",-8.00,-18.00,0.00,"",,,,,,
2017,2017-12-02,"4267","CLE","BOS",-9.00,-15.00,0.00,"",,,,,,
2017,2017-12-03,"4267","CLE","BOS",-10.00,-26.00,0.00,"",,,,,,
2017,2017-12-04,"4267","CLE","BOS",-7.00,-5.00,0.00,"",,,,,,
2017,2017-12-05,"4267","CLE","BOS",-7.00,-22.00,0.00,"",,,,,,
2017,2017-12-06,"4267","CLE","BOS",-6.00,-28.00,0.00,"",,,,,,
2017,2017-12-07,"4267","CLE","BOS",29.00,37.00,0.00,"",29.00,0.00,8.00,0.00,0.00,
2017,2017-12-08,"4267","CLE","BOS",15.00,-16.00,0.00,"",,,,,,
2017,2017-12-09,"4267","CLE","BOS",,,1.00,"C",,,,,,
2017,2017-12-10,"4267","CLE","BOS",4.00,11.00,0.00,"",,,,,,
2017,2017-12-11,"4267","CLE","BOS",-9.00,-8.00,0.00,"",,,,,,
2017,2017-12-12,"4267","CLE","BOS",31.00,37.00,0.00,"",0.00,0.00,6.00,0.00,31.00,
2017,2017-12-13,"4267","CLE","BOS",21.00,32.00,0.00,"",11.00,0.00,12.00,0.00,9.00,
2017,2017-12-14,"4267","CLE","BOS",-3.00,-10.00,0.00,"",,,,,,
2017,2017-12-15,"4267","CLE","BOS",26.00,18.00,0.00,"",0.00,0.00,0.00,0.00,18.00,
2017,2017-12-16,"4267","CLE","BOS",0.00,-20.00,0.00,"",,,,,,
2017,2017-12-17,"4267","CLE","BOS",-9.00,-24.00,0.00,"",,,,,,
2017,2017-12-18,"4267","CLE","BOS",-2.00,-17.00,0.00,"",,,,,,
2017,2017-12-19,"4267","CLE","BOS",-6.00,-14.00,0.00,"",,,,,,
2017,2017-12-20,"4267","CLE","BOS",50.00,32.00,0.00,"",0.00,0.00,0.00,0.00,32.00,
2017,2017-12-21,"4267","CLE","BOS",2.00,-17.00,0.00,"",,,,,,
2017,2017-12-22,"4267","CLE","BOS",-8.00,-7.00,0.00,"",,,,,,
2017,2017-12-23,"4267","CLE","BOS",40.00,33.00,0.00,"",33.00,0.00,0.00,0.00,0.00,
2017,2017-12-24,"4267","CLE","BOS",-7.00,-11.00,0.00,"",,,,,,
2017,2017-12-25,"4267","CLE","BOS",90.00,71.00,0.00,"",0.00,0.00,71.00,0.00,0.00,
2017,2017-12-26,"4267","CLE","BOS",-7.00,-23.00,0.00,"",,,,,,
2017,2017-12-27,"4267","CLE","BOS",-10.00,-21.00,0.00,"",,,,,,
2017,2017-12-28,"4267","CLE","BOS",-8.00,-15.00,0.00,"",,,,,,
2017,2017-12-29,"4267","CLE","BOS",-5.00,-10.00,0.00,"",,,,,,
2017,2017-12-30,"4267","CLE","BOS",-5.00,-10.00,0.00,"",,,,,,
2017,2017-12-31,"4267","CLE","BOS",-2.00,-22.00,0.00,"",,,,,,
2017,2017-12-01,"4314","BOS","CLE",-9.00,-26.00,0.00,"",,,,,,
2017,2017-12-02,"4314","BOS","CLE",-8.00,-10.00,0.00,"",,,,,,
2017,2017-12-03,"4314","BOS","CLE",-6.00,-25.00,0.00,"",,,,,,
2017,2017-12-04,"4314","BOS","CLE",-2.00,5.00,0.00,"",,,,,,
2017,2017-12-05,"4314","BOS","CLE",-13.00,-19.00,0.00,"",,,,,,
2017,2017-12-06,"4314","BOS","CLE",-7.00,-21.00,0.00,"",,,,,,
2017,2017-12-07,"4314","BOS","CLE",43.00,42.00,0.00,"",5.00,0.00,0.00,0.00,37.00,
2017,2017-12-08,"4314","BOS","CLE",-4.00,-5.00,0.00,"",,,,,,
2017,2017-12-09,"4314","BOS","CLE",,,1.00,"C",,,,,,
2017,2017-12-10,"4314","BOS","CLE",10.00,2.00,0.00,"",,,,,,
2017,2017-12-11,"4314","BOS","CLE",-8.00,-5.00,0.00,"",,,,,,
2017,2017-12-12,"4314","BOS","CLE",45.00,41.00,0.00,"",4.00,0.00,0.00,0.00,37.00,
2017,2017-12-13,"4314","BOS","CLE",29.00,43.00,0.00,"",11.00,0.00,14.00,0.00,18.00,
2017,2017-12-14,"4314","BOS","CLE",-4.00,0.00,0.00,"",,,,,,
2017,2017-12-15,"4314","BOS","CLE",13.00,3.00,0.00,"",,,,,,
2017,2017-12-16,"4314","BOS","CLE",-2.00,7.00,0.00,"",,,,,,
2017,2017-12-17,"4314","BOS","CLE",-8.00,-1.00,0.00,"",,,,,,
2017,2017-12-18,"4314","BOS","CLE",-7.00,-15.00,0.00,"",,,,,,
2017,2017-12-19,"4314","BOS","CLE",-11.00,10.00,0.00,"",,,,,,
2017,2017-12-20,"4314","BOS","CLE",30.00,25.00,0.00,"",0.00,0.00,0.00,0.00,25.00,
2017,2017-12-21,"4314","BOS","CLE",-7.00,-9.00,0.00,"",,,,,,
2017,2017-12-22,"4314","BOS","CLE",-6.00,13.00,0.00,"",,,,,,
2017,2017-12-23,"4314","BOS","CLE",36.00,39.00,0.00,"",3.00,3.00,3.00,0.00,30.00,
2017,2017-12-24,"4314","BOS","CLE",-7.00,-8.00,0.00,"",,,,,,
2017,2017-12-25,"4314","BOS","CLE",74.00,74.00,0.00,"",0.00,0.00,3.00,0.00,71.00,
2017,2017-12-26,"4314","BOS","CLE",-11.00,-16.00,0.00,"",,,,,,
2017,2017-12-27,"4314","BOS","CLE",-4.00,-12.00,0.00,"",,,,,,
2017,2017-12-28,"4314","BOS","CLE",-4.00,-6.00,0.00,"",,,,,,
2017,2017-12-29,"4314","BOS","CLE",-4.00,-9.00,0.00,"",,,,,,
2017,2017-12-30,"4314","BOS","CLE",-8.00,16.00,0.00,"",0.00,0.00,16.00,0.00,0.00,
2017,2017-12-31,"4314","BOS","CLE",-12.00,-32.00,0.00,"",,,,,,
2017,2017-12-01,"4336","BOS","CLE",-3.00,-24.00,0.00,"",,,,,,
2017,2017-12-04,"4336","BOS","CLE",5.00,-15.00,0.00,"",,,,,,
2017,2017-12-06,"4336","BOS","CLE",20.00,2.00,0.00,"",,,,,,
2017,2017-12-07,"4336","BOS","CLE",-8.00,-19.00,0.00,"",,,,,,
2017,2017-12-08,"4336","BOS","CLE",-4.00,5.00,0.00,"",,,,,,
2017,2017-12-11,"4336","BOS","CLE",-10.00,-27.00,0.00,"",,,,,,
2017,2017-12-13,"4336","BOS","CLE",15.00,1.00,0.00,"",,,,,,
2017,2017-12-14,"4336","BOS","CLE",10.00,-8.00,0.00,"",,,,,,
2017,2017-12-15,"4336","BOS","CLE",-5.00,-10.00,0.00,"",,,,,,
2017,2017-12-18,"4336","BOS","CLE",-2.00,22.00,0.00,"",0.00,0.00,22.00,0.00,0.00,
2017,2017-12-20,"4336","BOS","CLE",-6.00,-7.00,0.00,"",,,,,,
2017,2017-12-21,"4336","BOS","CLE",-6.00,-13.00,0.00,"",,,,,,
2017,2017-12-22,"4336","BOS","CLE",97.00,109.00,0.00,"",7.00,0.00,12.00,0.00,90.00,
2017,2017-12-26,"4336","BOS","CLE",-13.00,-20.00,0.00,"",,,,,,
2017,2017-12-27,"4336","BOS","CLE",31.00,39.00,0.00,"",3.00,0.00,8.00,0.00,28.00,
2017,2017-12-28,"4336","BOS","CLE",36.00,37.00,0.00,"",0.00,0.00,1.00,0.00,36.00,
2017,2017-12-29,"4336","BOS","CLE",3.00,-7.00,0.00,"",,,,,,
2017,2017-12-01,"5251","ORF","BOS",-10.00,4.00,0.00,"",,,,,,
2017,2017-12-03,"5251","ORF","BOS",45.00,39.00,0.00,"",0.00,0.00,0.00,0.00,39.00,
2017,2017-12-04,"5251","ORF","BOS",50.00,69.00,0.00,"",17.00,0.00,19.00,0.00,33.00,
2017,2017-12-05,"5251","ORF","BOS",-6.00,17.00,0.00,"",0.00,0.00,17.00,0.00,0.00,
2017,2017-12-06,"5251","ORF","BOS",71.00,71.00,0.00,"",0.00,0.00,0.00,0.00,71.00,
2017,2017-12-07,"5251","ORF","BOS",-9.00,-18.00,0.00,"",,,,,,
2017,2017-12-08,"5251","ORF","BOS",54.00,39.00,0.00,"",0.00,0.00,0.00,0.00,39.00,
2017,2017-12-10,"5251","ORF","BOS",-7.00,-15.00,0.00,"",,,,,,
2017,2017-12-11,"5251","ORF","BOS",-9.00,-17.00,0.00,"",,,,,,
2017,2017-12-12,"5251","ORF","BOS",157.00,144.00,0.00,"",0.00,0.00,0.00,0.00,144.00,
2017,2017-12-13,"5251","ORF","BOS",189.00,183.00,0.00,"",0.00,0.00,0.00,0.00,183.00,
2017,2017-12-14,"5251","ORF","BOS",37.00,45.00,0.00,"",1.00,0.00,8.00,0.00,36.00,
2017,2017-12-15,"5251","ORF","BOS",199.00,194.00,0.00,"",0.00,0.00,0.00,0.00,194.00,
2017,2017-12-17,"5251","ORF","BOS",-6.00,-9.00,0.00,"",,,,,,
2017,2017-12-18,"5251","ORF","BOS",-4.00,-8.00,0.00,"",,,,,,
2017,2017-12-19,"5251","ORF","BOS",-13.00,-6.00,0.00,"",,,,,,
2017,2017-12-20,"5251","ORF","BOS",-1.00,-4.00,0.00,"",,,,,,
2017,2017-12-21,"5258","RIC","BOS",17.00,6.00,0.00,"",,,,,,
2017,2017-12-22,"5258","RIC","BOS",-4.00,-13.00,0.00,"",,,,,,
2017,2017-12-25,"5258","RIC","BOS",170.00,248.00,0.00,"",170.00,0.00,78.00,0.00,0.00,
2017,2017-12-26,"5258","RIC","BOS",146.00,149.00,0.00,"",64.00,0.00,3.00,0.00,82.00,
2017,2017-12-27,"5258","RIC","BOS",16.00,0.00,0.00,"",,,,,,
2017,2017-12-28,"5258","RIC","BOS",1.00,-2.00,0.00,"",,,,,,
2017,2017-12-29,"5258","RIC","BOS",-1.00,-12.00,0.00,"",,,,,,
2017,2017-12-01,"5310","RIC","BOS",-6.00,-10.00,0.00,"",,,,,,
2017,2017-12-03,"5310","RIC","BOS",6.00,-4.00,0.00,"",,,,,,
2017,2017-12-04,"5310","RIC","BOS",-5.00,-19.00,0.00,"",,,,,,
2017,2017-12-05,"5310","RIC","BOS",1.00,6.00,0.00,"",,,,,,
2017,2017-12-06,"5310","RIC","BOS",-4.00,5.00,0.00,"",,,,,,
2017,2017-12-07,"5310","RIC","BOS",28.00,2.00,0.00,"",,,,,,
2017,2017-12-08,"5310","RIC","BOS",42.00,112.00,0.00,"",42.00,0.00,70.00,0.00,0.00,
2017,2017-12-10,"5310","RIC","BOS",8.00,-6.00,0.00,"",,,,,,
2017,2017-12-11,"5310","RIC","BOS",110.00,90.00,0.00,"",90.00,0.00,0.00,0.00,0.00,
2017,2017-12-12,"5310","RIC","BOS",27.00,26.00,0.00,"",0.00,0.00,0.00,0.00,26.00,
2017,2017-12-13,"5310","RIC","BOS",24.00,6.00,0.00,"",,,,,,
2017,2017-12-14,"5310","RIC","BOS",,,1.00,"C",,,,,,
2017,2017-12-15,"5310","RIC","BOS",12.00,-1.00,0.00,"",,,,,,
2017,2017-12-17,"5310","RIC","BOS",-9.00,-21.00,0.00,"",,,,,,
2017,2017-12-18,"5310","RIC","BOS",137.00,122.00,0.00,"",0.00,0.00,0.00,0.00,122.00,
2017,2017-12-19,"5310","RIC","BOS",-4.00,-11.00,0.00,"",,,,,,
2017,2017-12-20,"5310","RIC","BOS",-5.00,-13.00,0.00,"",,,,,,
2017,2017-12-23,"5312","BOS","RDU",211.00,314.00,0.00,"",0.00,0.00,103.00,0.00,211.00,
2017,2017-12-30,"5312","BOS","RDU",21.00,8.00,0.00,"",,,,,,
2017,2017-12-01,"5323","BOS","ORF",-3.00,-22.00,0.00,"",,,,,,
2017,2017-12-02,"5323","BOS","ORF",-3.00,-26.00,0.00,"",,,,,,
2017,2017-12-04,"5323","BOS","ORF",-4.00,-20.00,0.00,"",,,,,,
2017,2017-12-05,"5323","BOS","ORF",-1.00,-23.00,0.00,"",,,,,,
2017,2017-12-06,"5323","BOS","ORF",-1.00,13.00,0.00,"",,,,,,
2017,2017-12-07,"5323","BOS","ORF",-1.00,-14.00,0.00,"",,,,,,
2017,2017-12-08,"5323","BOS","ORF",-8.00,-22.00,0.00,"",,,,,,
2017,2017-12-09,"5323","BOS","ORF",9.00,27.00,0.00,"",9.00,0.00,18.00,0.00,0.00,
2017,2017-12-11,"5323","BOS","ORF",13.00,-11.00,0.00,"",,,,,,
2017,2017-12-12,"5323","BOS","ORF",-5.00,-20.00,0.00,"",,,,,,
2017,2017-12-13,"5323","BOS","ORF",-4.00,21.00,0.00,"",0.00,0.00,21.00,0.00,0.00,
2017,2017-12-14,"5323","BOS","ORF",253.00,232.00,0.00,"",232.00,0.00,0.00,0.00,0.00,
2017,2017-12-15,"5323","BOS","ORF",39.00,33.00,0.00,"",33.00,0.00,0.00,0.00,0.00,
2017,2017-12-16,"5323","BOS","ORF",-1.00,30.00,0.00,"",0.00,0.00,30.00,0.00,0.00,
2017,2017-12-18,"5323","BOS","ORF",0.00,-26.00,0.00,"",,,,,,
2017,2017-12-19,"5323","BOS","ORF",-3.00,-25.00,0.00,"",,,,,,
2017,2017-12-20,"5323","BOS","ORF",-5.00,-4.00,0.00,"",,,,,,
2017,2017-12-01,"5329","BOS","RIC",-13.00,-38.00,0.00,"",,,,,,
2017,2017-12-02,"5329","BOS","RIC",-5.00,-28.00,0.00,"",,,,,,
2017,2017-12-04,"5329","BOS","RIC",34.00,15.00,0.00,"",0.00,0.00,0.00,0.00,15.00,
2017,2017-12-05,"5329","BOS","RIC",-8.00,-14.00,0.00,"",,,,,,
2017,2017-12-06,"5329","BOS","RIC",-7.00,-12.00,0.00,"",,,,,,
2017,2017-12-07,"5329","BOS","RIC",-13.00,-14.00,0.00,"",,,,,,
2017,2017-12-08,"5329","BOS","RIC",-8.00,-14.00,0.00,"",,,,,,
2017,2017-12-09,"5329","BOS","RIC",8.00,31.00,0.00,"",8.00,0.00,23.00,0.00,0.00,
