"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017,2017-02-01,"104","ATL","BOS",-1.00,-1.00,0.00,"",,,,,,
2017,2017-02-01,"105","BOS","ATL",-1.00,-16.00,0.00,"",,,,,,
2017,2017-02-01,"155","LAX","BOS",-5.00,-42.00,0.00,"",,,,,,
2017,2017-02-01,"158","DTW","BOS",69.00,68.00,0.00,"",68.00,0.00,0.00,0.00,0.00,
2017,2017-02-01,"159","BOS","DTW",1.00,22.00,0.00,"",0.00,0.00,22.00,0.00,0.00,
2017,2017-02-01,"188","DTW","BOS",0.00,-11.00,0.00,"",,,,,,
2017,2017-02-01,"283","BOS","SLC",10.00,,0.00,"",,,,,,
2017,2017-02-01,"396","DTW","BOS",-2.00,-10.00,0.00,"",,,,,,
2017,2017-02-01,"433","JFK","BOS",-3.00,-8.00,0.00,"",,,,,,
2017,2017-02-01,"454","JFK","BOS",-5.00,-11.00,0.00,"",,,,,,
2017,2017-02-01,"463","JFK","BOS",-6.00,-22.00,0.00,"",,,,,,
2017,2017-02-01,"467","JFK","BOS",-6.00,-3.00,0.00,"",,,,,,
2017,2017-02-01,"476","BOS","JFK",-5.00,-22.00,0.00,"",,,,,,
2017,2017-02-01,"483","JFK","BOS",-7.00,-32.00,0.00,"",,,,,,
2017,2017-02-01,"659","BOS","CVG",-10.00,-23.00,0.00,"",,,,,,
2017,2017-02-01,"708","BOS","ATL",-4.00,-23.00,0.00,"",,,,,,
2017,2017-02-01,"779","BOS","CVG",-6.00,-2.00,0.00,"",,,,,,
2017,2017-02-01,"783","BOS","JFK",30.00,41.00,0.00,"",0.00,30.00,11.00,0.00,0.00,
2017,2017-02-01,"808","MSP","BOS",-6.00,-22.00,0.00,"",,,,,,
2017,2017-02-01,"809","BOS","MSP",-1.00,1.00,0.00,"",,,,,,
2017,2017-02-01,"848","BOS","DTW",-2.00,-12.00,0.00,"",,,,,,
2017,2017-02-01,"859","BOS","MSP",15.00,1.00,0.00,"",,,,,,
2017,2017-02-01,"868","MSP","BOS",-3.00,-40.00,0.00,"",,,,,,
2017,2017-02-01,"890","CVG","BOS",-6.00,-33.00,0.00,"",,,,,,
2017,2017-02-01,"900","BOS","ATL",21.00,55.00,0.00,"",0.00,21.00,34.00,0.00,0.00,
2017,2017-02-01,"903","ATL","BOS",-2.00,-16.00,0.00,"",,,,,,
2017,2017-02-01,"976","MCO","BOS",-3.00,-21.00,0.00,"",,,,,,
2017,2017-02-01,"980","ATL","BOS",2.00,-13.00,0.00,"",,,,,,
2017,2017-02-01,"981","BOS","ATL",-4.00,-23.00,0.00,"",,,,,,
2017,2017-02-01,"1082","BOS","JFK",-5.00,-21.00,0.00,"",,,,,,
2017,2017-02-01,"1135","BOS","SEA",35.00,58.00,0.00,"",0.00,35.00,23.00,0.00,0.00,
2017,2017-02-01,"1201","BOS","ATL",20.00,54.00,0.00,"",0.00,20.00,34.00,0.00,0.00,
2017,2017-02-01,"1202","ATL","BOS",-2.00,-14.00,0.00,"",,,,,,
2017,2017-02-01,"1203","BOS","ATL",19.00,4.00,0.00,"",,,,,,
