"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,2018-02-28,"2400","BOS","SFO",3.00,14.00,0.00,"",,,,,,
2018,2018-02-28,"2165","BOS","EWR",-5.00,-23.00,0.00,"",,,,,,
2018,2018-02-28,"2136","BOS","IAD",-3.00,-20.00,0.00,"",,,,,,
2018,2018-02-28,"2062","EWR","BOS",22.00,14.00,0.00,"",,,,,,
2018,2018-02-28,"2045","BOS","IAH",-9.00,-7.00,0.00,"",,,,,,
2018,2018-02-28,"1946","BOS","EWR",35.00,22.00,0.00,"",0.00,0.00,22.00,0.00,0.00,
2018,2018-02-28,"1928","BOS","EWR",-8.00,-10.00,0.00,"",,,,,,
2018,2018-02-28,"1922","EWR","BOS",-2.00,-19.00,0.00,"",,,,,,
2018,2018-02-28,"1868","BOS","EWR",-11.00,-4.00,0.00,"",,,,,,
2018,2018-02-28,"1865","SFO","BOS",-9.00,2.00,0.00,"",,,,,,
2018,2018-02-28,"1803","EWR","BOS",-7.00,-9.00,0.00,"",,,,,,
2018,2018-02-28,"1666","EWR","BOS",9.00,-3.00,0.00,"",,,,,,
2018,2018-02-28,"1629","EWR","BOS",-4.00,-14.00,0.00,"",,,,,,
2018,2018-02-28,"1578","IAH","BOS",0.00,-17.00,0.00,"",,,,,,
2018,2018-02-28,"1564","BOS","ORD",-7.00,-8.00,0.00,"",,,,,,
2018,2018-02-28,"1551","BOS","EWR",-2.00,-8.00,0.00,"",,,,,,
2018,2018-02-28,"1425","BOS","EWR",9.00,2.00,0.00,"",,,,,,
2018,2018-02-28,"1413","SFO","BOS",0.00,-7.00,0.00,"",,,,,,
2018,2018-02-28,"1265","ORD","BOS",-5.00,-20.00,0.00,"",,,,,,
2018,2018-02-28,"1254","BOS","IAH",-8.00,-9.00,0.00,"",,,,,,
2018,2018-02-28,"1253","IAH","BOS",-10.00,-21.00,0.00,"",,,,,,
2018,2018-02-28,"1251","BOS","ORD",-6.00,-20.00,0.00,"",,,,,,
2018,2018-02-28,"1233","BOS","IAH",2.00,6.00,0.00,"",,,,,,
2018,2018-02-28,"1202","EWR","BOS",-3.00,-14.00,0.00,"",,,,,,
2018,2018-02-28,"1120","IAH","BOS",3.00,-26.00,0.00,"",,,,,,
2018,2018-02-28,"1078","BOS","EWR",1.00,-2.00,0.00,"",,,,,,
2018,2018-02-28,"1077","IAH","BOS",4.00,-11.00,0.00,"",,,,,,
2018,2018-02-28,"994","EWR","BOS",-5.00,-12.00,0.00,"",,,,,,
2018,2018-02-28,"992","ORD","BOS",-8.00,-30.00,0.00,"",,,,,,
2018,2018-02-28,"824","LAX","BOS",-8.00,-40.00,0.00,"",,,,,,
2018,2018-02-28,"822","IAD","BOS",-7.00,-18.00,0.00,"",,,,,,
2018,2018-02-28,"790","ORD","BOS",3.00,-21.00,0.00,"",,,,,,
2018,2018-02-28,"789","DEN","BOS",-1.00,-35.00,0.00,"",,,,,,
2018,2018-02-28,"768","SFO","BOS",-9.00,-10.00,0.00,"",,,,,,
2018,2018-02-28,"717","BOS","LAX",-7.00,3.00,0.00,"",,,,,,
2018,2018-02-28,"700","BOS","EWR",-7.00,-11.00,0.00,"",,,,,,
2018,2018-02-28,"670","ORD","BOS",6.00,-12.00,0.00,"",,,,,,
2018,2018-02-28,"655","IAD","BOS",-3.00,0.00,0.00,"",,,,,,
2018,2018-02-28,"652","BOS","DEN",-3.00,-2.00,0.00,"",,,,,,
2018,2018-02-28,"641","IAD","BOS",-3.00,-7.00,0.00,"",,,,,,
2018,2018-02-28,"620","ORD","BOS",-6.00,-22.00,0.00,"",,,,,,
2018,2018-02-28,"599","BOS","ORD",0.00,4.00,0.00,"",,,,,,
2018,2018-02-28,"599","DEN","BOS",-3.00,-36.00,0.00,"",,,,,,
2018,2018-02-28,"578","ORD","BOS",-6.00,-31.00,0.00,"",,,,,,
2018,2018-02-28,"525","BOS","IAD",-4.00,-13.00,0.00,"",,,,,,
2018,2018-02-28,"511","BOS","IAD",-8.00,-25.00,0.00,"",,,,,,
2018,2018-02-28,"496","ORD","BOS",-9.00,-26.00,0.00,"",,,,,,
2018,2018-02-28,"477","BOS","SFO",-4.00,-9.00,0.00,"",,,,,,
2018,2018-02-28,"476","BOS","ORD",-12.00,-17.00,0.00,"",,,,,,
2018,2018-02-28,"449","BOS","ORD",-10.00,-25.00,0.00,"",,,,,,
2018,2018-02-28,"448","BOS","DEN",2.00,-2.00,0.00,"",,,,,,
2018,2018-02-28,"444","SFO","BOS",-4.00,-11.00,0.00,"",,,,,,
2018,2018-02-28,"439","BOS","ORD",7.00,27.00,0.00,"",7.00,0.00,20.00,0.00,0.00,
2018,2018-02-28,"433","BOS","SFO",-8.00,20.00,0.00,"",0.00,0.00,20.00,0.00,0.00,
2018,2018-02-28,"402","EWR","BOS",-6.00,-22.00,0.00,"",,,,,,
2018,2018-02-28,"389","BOS","IAD",-8.00,-19.00,0.00,"",,,,,,
2018,2018-02-28,"386","DEN","BOS",-2.00,-39.00,0.00,"",,,,,,
2018,2018-02-28,"352","IAD","BOS",-8.00,2.00,0.00,"",,,,,,
2018,2018-02-28,"343","BOS","EWR",-11.00,-13.00,0.00,"",,,,,,
2018,2018-02-28,"339","BOS","DEN",-2.00,7.00,0.00,"",,,,,,
2018,2018-02-28,"319","BOS","SFO",-8.00,-7.00,0.00,"",,,,,,
2018,2018-02-28,"304","BOS","IAH",-8.00,-10.00,0.00,"",,,,,,
2018,2018-02-28,"302","EWR","BOS",-2.00,-10.00,0.00,"",,,,,,
2018,2018-02-28,"280","EWR","BOS",88.00,71.00,0.00,"",37.00,0.00,0.00,0.00,34.00,
2018,2018-02-28,"242","SFO","BOS",-2.00,-23.00,0.00,"",,,,,,
2018,2018-02-28,"239","BOS","EWR",-9.00,-14.00,0.00,"",,,,,,
2018,2018-02-28,"207","BOS","SFO",9.00,28.00,0.00,"",9.00,0.00,19.00,0.00,0.00,
2018,2018-02-28,"203","BOS","ORD",-10.00,-25.00,0.00,"",,,,,,
2018,2018-02-27,"2400","BOS","SFO",-2.00,13.00,0.00,"",,,,,,
2018,2018-02-27,"2165","BOS","EWR",-13.00,-38.00,0.00,"",,,,,,
2018,2018-02-27,"2136","BOS","IAD",-6.00,-23.00,0.00,"",,,,,,
2018,2018-02-27,"2062","EWR","BOS",-1.00,2.00,0.00,"",,,,,,
2018,2018-02-27,"2047","BOS","EWR",-8.00,-3.00,0.00,"",,,,,,
2018,2018-02-27,"2045","BOS","IAH",-9.00,2.00,0.00,"",,,,,,
2018,2018-02-27,"1946","BOS","EWR",-8.00,-39.00,0.00,"",,,,,,
2018,2018-02-27,"1928","BOS","EWR",-11.00,-41.00,0.00,"",,,,,,
2018,2018-02-27,"1922","EWR","BOS",-6.00,-23.00,0.00,"",,,,,,
2018,2018-02-27,"1868","BOS","EWR",-10.00,-14.00,0.00,"",,,,,,
2018,2018-02-27,"1865","SFO","BOS",-5.00,-19.00,0.00,"",,,,,,
2018,2018-02-27,"1803","EWR","BOS",-9.00,-9.00,0.00,"",,,,,,
2018,2018-02-27,"1666","EWR","BOS",-4.00,-8.00,0.00,"",,,,,,
2018,2018-02-27,"1629","EWR","BOS",-8.00,-24.00,0.00,"",,,,,,
2018,2018-02-27,"1578","IAH","BOS",-8.00,-5.00,0.00,"",,,,,,
2018,2018-02-27,"1564","BOS","ORD",-6.00,-15.00,0.00,"",,,,,,
2018,2018-02-27,"1551","BOS","EWR",-16.00,-47.00,0.00,"",,,,,,
2018,2018-02-27,"1425","BOS","EWR",-2.00,7.00,0.00,"",,,,,,
2018,2018-02-27,"1413","SFO","BOS",-6.00,-3.00,0.00,"",,,,,,
2018,2018-02-27,"1265","ORD","BOS",-10.00,-18.00,0.00,"",,,,,,
2018,2018-02-27,"1254","BOS","IAH",-4.00,10.00,0.00,"",,,,,,
2018,2018-02-27,"1253","IAH","BOS",-2.00,-24.00,0.00,"",,,,,,
2018,2018-02-27,"1251","BOS","ORD",-12.00,-33.00,0.00,"",,,,,,
2018,2018-02-27,"1233","BOS","IAH",-7.00,-21.00,0.00,"",,,,,,
2018,2018-02-27,"1214","EWR","BOS",-5.00,-2.00,0.00,"",,,,,,
2018,2018-02-27,"1202","EWR","BOS",-8.00,-14.00,0.00,"",,,,,,
2018,2018-02-27,"1120","IAH","BOS",-1.00,-13.00,0.00,"",,,,,,
