"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,2018-11-01,"1576","ATL","BOS",-3.00,11.00,0.00,"",,,,,,
2018,2018-11-01,"2389","ATL","BOS",18.00,-11.00,0.00,"",,,,,,
2018,2018-11-01,"2459","ATL","BOS",-5.00,-27.00,0.00,"",,,,,,
2018,2018-11-01,"1601","AUS","BOS",39.00,14.00,0.00,"",,,,,,
2018,2018-11-01,"364","BNA","BOS",57.00,32.00,0.00,"",0.00,0.00,0.00,0.00,32.00,
2018,2018-11-01,"1523","BNA","BOS",74.00,55.00,0.00,"",0.00,0.00,55.00,0.00,0.00,
2018,2018-11-01,"1616","BNA","BOS",32.00,21.00,0.00,"",21.00,0.00,0.00,0.00,0.00,
2018,2018-11-01,"2334","BNA","BOS",-2.00,-12.00,0.00,"",,,,,,
2018,2018-11-01,"931","BOS","ATL",59.00,75.00,0.00,"",55.00,0.00,16.00,0.00,4.00,
2018,2018-11-01,"1577","BOS","ATL",2.00,-8.00,0.00,"",,,,,,
2018,2018-11-01,"6847","BOS","ATL",-2.00,2.00,0.00,"",,,,,,
2018,2018-11-01,"2179","BOS","AUS",-1.00,16.00,0.00,"",0.00,0.00,16.00,0.00,0.00,
2018,2018-11-01,"52","BOS","BNA",0.00,-3.00,0.00,"",,,,,,
2018,2018-11-01,"275","BOS","BNA",-10.00,0.00,0.00,"",,,,,,
2018,2018-11-01,"519","BOS","BNA",-5.00,-17.00,0.00,"",,,,,,
2018,2018-11-01,"2437","BOS","BNA",-1.00,9.00,0.00,"",,,,,,
2018,2018-11-01,"270","BOS","BWI",-4.00,-12.00,0.00,"",,,,,,
2018,2018-11-01,"277","BOS","BWI",-4.00,-1.00,0.00,"",,,,,,
2018,2018-11-01,"747","BOS","BWI",-5.00,-3.00,0.00,"",,,,,,
2018,2018-11-01,"1118","BOS","BWI",-2.00,7.00,0.00,"",,,,,,
2018,2018-11-01,"1523","BOS","BWI",50.00,37.00,0.00,"",0.00,0.00,0.00,0.00,37.00,
2018,2018-11-01,"1601","BOS","BWI",14.00,13.00,0.00,"",,,,,,
2018,2018-11-01,"2171","BOS","BWI",15.00,1.00,0.00,"",,,,,,
2018,2018-11-01,"2181","BOS","BWI",-3.00,-3.00,0.00,"",,,,,,
2018,2018-11-01,"2447","BOS","BWI",30.00,37.00,0.00,"",0.00,0.00,7.00,0.00,30.00,
2018,2018-11-01,"2525","BOS","BWI",-4.00,-3.00,0.00,"",,,,,,
2018,2018-11-01,"291","BOS","CMH",-9.00,5.00,0.00,"",,,,,,
2018,2018-11-01,"2162","BOS","CMH",148.00,149.00,0.00,"",133.00,0.00,1.00,0.00,15.00,
2018,2018-11-01,"6283","BOS","DAL",0.00,14.00,0.00,"",,,,,,
2018,2018-11-01,"2222","BOS","DEN",-4.00,-27.00,0.00,"",,,,,,
2018,2018-11-01,"2443","BOS","DEN",-2.00,-9.00,0.00,"",,,,,,
2018,2018-11-01,"380","BOS","HOU",-2.00,22.00,0.00,"",0.00,0.00,22.00,0.00,0.00,
2018,2018-11-01,"660","BOS","IND",0.00,-3.00,0.00,"",,,,,,
2018,2018-11-01,"250","BOS","MCI",13.00,11.00,0.00,"",,,,,,
2018,2018-11-01,"1548","BOS","MCI",-4.00,-7.00,0.00,"",,,,,,
2018,2018-11-01,"295","BOS","MDW",4.00,19.00,0.00,"",0.00,0.00,19.00,0.00,0.00,
2018,2018-11-01,"490","BOS","MDW",0.00,3.00,0.00,"",,,,,,
2018,2018-11-01,"658","BOS","MDW",46.00,51.00,0.00,"",25.00,0.00,5.00,0.00,21.00,
2018,2018-11-01,"1027","BOS","MDW",-4.00,-8.00,0.00,"",,,,,,
2018,2018-11-01,"1668","BOS","MDW",8.00,6.00,0.00,"",,,,,,
2018,2018-11-01,"607","BOS","MKE",40.00,33.00,0.00,"",0.00,0.00,0.00,0.00,33.00,
2018,2018-11-01,"349","BOS","STL",-7.00,-2.00,0.00,"",,,,,,
2018,2018-11-01,"2177","BOS","STL",-4.00,3.00,0.00,"",,,,,,
