"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,2018-06-30,"2402","LAX","BOS",-4.00,0.00,0.00,"",,,,,,
2018,2018-06-30,"2396","SFO","BOS",6.00,12.00,0.00,"",,,,,,
2018,2018-06-30,"2394","BOS","EWR",-6.00,-26.00,0.00,"",,,,,,
2018,2018-06-30,"2360","SFO","BOS",13.00,22.00,0.00,"",13.00,0.00,9.00,0.00,0.00,
2018,2018-06-30,"2322","EWR","BOS",205.00,189.00,0.00,"",54.00,0.00,0.00,0.00,135.00,
2018,2018-06-30,"2294","BOS","SFO",-5.00,-11.00,0.00,"",,,,,,
2018,2018-06-30,"2294","EWR","BOS",27.00,15.00,0.00,"",15.00,0.00,0.00,0.00,0.00,
2018,2018-06-30,"2261","SFO","BOS",-9.00,-12.00,0.00,"",,,,,,
2018,2018-06-30,"2214","BOS","DEN",-5.00,-20.00,0.00,"",,,,,,
2018,2018-06-30,"2195","BOS","IAH",24.00,22.00,0.00,"",0.00,11.00,0.00,0.00,11.00,
2018,2018-06-30,"2165","BOS","EWR",-9.00,-17.00,0.00,"",,,,,,
2018,2018-06-30,"2154","LAX","BOS",69.00,44.00,0.00,"",1.00,0.00,0.00,0.00,43.00,
2018,2018-06-30,"2145","BOS","LAX",138.00,92.00,0.00,"",92.00,0.00,0.00,0.00,0.00,
2018,2018-06-30,"2136","BOS","IAD",-2.00,-12.00,0.00,"",,,,,,
2018,2018-06-30,"2077","BOS","EWR",-19.00,-25.00,0.00,"",,,,,,
2018,2018-06-30,"2062","EWR","BOS",5.00,0.00,0.00,"",,,,,,
2018,2018-06-30,"2047","IAH","BOS",24.00,19.00,0.00,"",4.00,0.00,0.00,0.00,15.00,
2018,2018-06-30,"2045","EWR","BOS",-6.00,-11.00,0.00,"",,,,,,
2018,2018-06-30,"1946","BOS","EWR",-5.00,-34.00,0.00,"",,,,,,
2018,2018-06-30,"1922","EWR","BOS",224.00,236.00,0.00,"",0.00,0.00,12.00,0.00,224.00,
2018,2018-06-30,"1865","SFO","BOS",0.00,-16.00,0.00,"",,,,,,
2018,2018-06-30,"1820","BOS","LAX",-2.00,-33.00,0.00,"",,,,,,
2018,2018-06-30,"1772","BOS","IAH",7.00,-2.00,0.00,"",,,,,,
2018,2018-06-30,"1651","ORD","BOS",21.00,15.00,0.00,"",0.00,0.00,0.00,0.00,15.00,
2018,2018-06-30,"1598","BOS","ORD",-4.00,-26.00,0.00,"",,,,,,
2018,2018-06-30,"1578","IAH","BOS",-5.00,-16.00,0.00,"",,,,,,
2018,2018-06-30,"1564","BOS","ORD",-6.00,-10.00,0.00,"",,,,,,
2018,2018-06-30,"1413","SFO","BOS",29.00,45.00,0.00,"",29.00,0.00,16.00,0.00,0.00,
2018,2018-06-30,"1254","BOS","IAH",-4.00,-6.00,0.00,"",,,,,,
2018,2018-06-30,"1253","IAH","BOS",9.00,-2.00,0.00,"",,,,,,
2018,2018-06-30,"1251","BOS","ORD",-3.00,-22.00,0.00,"",,,,,,
2018,2018-06-30,"1223","ORD","BOS",54.00,50.00,0.00,"",0.00,0.00,0.00,0.00,50.00,
2018,2018-06-30,"1202","BOS","EWR",170.00,151.00,0.00,"",0.00,0.00,2.00,0.00,149.00,
2018,2018-06-30,"1112","ORD","BOS",-4.00,-5.00,0.00,"",,,,,,
2018,2018-06-30,"1083","EWR","BOS",-4.00,-14.00,0.00,"",,,,,,
2018,2018-06-30,"1078","BOS","EWR",-2.00,-6.00,0.00,"",,,,,,
2018,2018-06-30,"994","EWR","BOS",40.00,45.00,0.00,"",7.00,0.00,5.00,0.00,33.00,
2018,2018-06-30,"992","ORD","BOS",-6.00,-17.00,0.00,"",,,,,,
2018,2018-06-30,"913","ORD","BOS",-2.00,-14.00,0.00,"",,,,,,
2018,2018-06-30,"824","LAX","BOS",-7.00,-11.00,0.00,"",,,,,,
2018,2018-06-30,"822","IAD","BOS",-1.00,0.00,0.00,"",,,,,,
2018,2018-06-30,"789","DEN","BOS",32.00,7.00,0.00,"",,,,,,
2018,2018-06-30,"775","BOS","ORD",-3.00,-27.00,0.00,"",,,,,,
2018,2018-06-30,"717","BOS","LAX",7.00,-20.00,0.00,"",,,,,,
2018,2018-06-30,"700","BOS","EWR",4.00,-15.00,0.00,"",,,,,,
2018,2018-06-30,"670","ORD","BOS",-3.00,19.00,0.00,"",0.00,0.00,19.00,0.00,0.00,
2018,2018-06-30,"652","BOS","DEN",-3.00,-11.00,0.00,"",,,,,,
2018,2018-06-30,"646","BOS","IAH",0.00,-17.00,0.00,"",,,,,,
2018,2018-06-30,"641","IAD","BOS",-3.00,-13.00,0.00,"",,,,,,
