"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,2018-03-31,"2418","SFO","BOS",-7.00,-36.00,0.00,"",,,,,,
2018,2018-03-31,"2400","BOS","SFO",-17.00,-5.00,0.00,"",,,,,,
2018,2018-03-31,"2396","SFO","BOS",-6.00,-15.00,0.00,"",,,,,,
2018,2018-03-31,"2394","BOS","EWR",-8.00,-29.00,0.00,"",,,,,,
2018,2018-03-31,"2062","EWR","BOS",-8.00,-13.00,0.00,"",,,,,,
2018,2018-03-31,"2045","BOS","IAH",-4.00,-20.00,0.00,"",,,,,,
2018,2018-03-31,"1865","SFO","BOS",-10.00,-27.00,0.00,"",,,,,,
2018,2018-03-31,"1719","BOS","EWR",-13.00,-23.00,0.00,"",,,,,,
2018,2018-03-31,"1666","EWR","BOS",-8.00,-10.00,0.00,"",,,,,,
2018,2018-03-31,"1598","BOS","ORD",0.00,-12.00,0.00,"",,,,,,
2018,2018-03-31,"1578","IAH","BOS",79.00,50.00,0.00,"",0.00,0.00,0.00,0.00,50.00,
2018,2018-03-31,"1425","BOS","EWR",2.00,-14.00,0.00,"",,,,,,
2018,2018-03-31,"1254","BOS","IAH",-7.00,-14.00,0.00,"",,,,,,
2018,2018-03-31,"1253","IAH","BOS",-6.00,-17.00,0.00,"",,,,,,
2018,2018-03-31,"1202","EWR","BOS",-4.00,-5.00,0.00,"",,,,,,
2018,2018-03-31,"1078","BOS","EWR",-10.00,3.00,0.00,"",,,,,,
2018,2018-03-31,"1077","IAH","BOS",0.00,0.00,0.00,"",,,,,,
2018,2018-03-31,"992","ORD","BOS",-2.00,-7.00,0.00,"",,,,,,
2018,2018-03-31,"790","ORD","BOS",-8.00,-26.00,0.00,"",,,,,,
2018,2018-03-31,"789","DEN","BOS",1.00,-20.00,0.00,"",,,,,,
2018,2018-03-31,"775","BOS","ORD",-3.00,-18.00,0.00,"",,,,,,
2018,2018-03-31,"717","BOS","LAX",-8.00,12.00,0.00,"",,,,,,
2018,2018-03-31,"700","BOS","EWR",-6.00,-16.00,0.00,"",,,,,,
2018,2018-03-31,"670","ORD","BOS",0.00,-4.00,0.00,"",,,,,,
2018,2018-03-31,"655","IAD","BOS",-7.00,-13.00,0.00,"",,,,,,
2018,2018-03-31,"652","BOS","DEN",-8.00,-15.00,0.00,"",,,,,,
2018,2018-03-31,"641","IAD","BOS",-3.00,-12.00,0.00,"",,,,,,
2018,2018-03-31,"599","DEN","BOS",78.00,55.00,0.00,"",3.00,0.00,0.00,0.00,52.00,
2018,2018-03-31,"578","ORD","BOS",-5.00,-36.00,0.00,"",,,,,,
2018,2018-03-31,"525","BOS","IAD",0.00,-8.00,0.00,"",,,,,,
2018,2018-03-31,"511","BOS","IAD",-2.00,-15.00,0.00,"",,,,,,
2018,2018-03-31,"496","ORD","BOS",-4.00,-10.00,0.00,"",,,,,,
2018,2018-03-31,"486","EWR","BOS",-8.00,-13.00,0.00,"",,,,,,
2018,2018-03-31,"477","BOS","SFO",-10.00,-7.00,0.00,"",,,,,,
2018,2018-03-31,"449","BOS","ORD",-6.00,-29.00,0.00,"",,,,,,
2018,2018-03-31,"448","BOS","DEN",0.00,-2.00,0.00,"",,,,,,
2018,2018-03-31,"444","SFO","BOS",19.00,-16.00,0.00,"",,,,,,
2018,2018-03-31,"439","BOS","ORD",-7.00,-4.00,0.00,"",,,,,,
2018,2018-03-31,"433","BOS","SFO",-11.00,-16.00,0.00,"",,,,,,
2018,2018-03-31,"389","BOS","IAD",-8.00,-19.00,0.00,"",,,,,,
2018,2018-03-31,"386","DEN","BOS",15.00,-4.00,0.00,"",,,,,,
2018,2018-03-31,"352","IAD","BOS",-9.00,-1.00,0.00,"",,,,,,
2018,2018-03-31,"343","BOS","EWR",-6.00,-15.00,0.00,"",,,,,,
2018,2018-03-31,"339","BOS","DEN",0.00,2.00,0.00,"",,,,,,
2018,2018-03-31,"333","IAH","BOS",2.00,-5.00,0.00,"",,,,,,
2018,2018-03-31,"319","BOS","SFO",40.00,40.00,0.00,"",40.00,0.00,0.00,0.00,0.00,
2018,2018-03-31,"304","BOS","IAH",0.00,-15.00,0.00,"",,,,,,
2018,2018-03-31,"280","EWR","BOS",-2.00,-25.00,0.00,"",,,,,,
2018,2018-03-31,"259","BOS","IAH",0.00,-8.00,0.00,"",,,,,,
2018,2018-03-31,"242","SFO","BOS",25.00,-21.00,0.00,"",,,,,,
2018,2018-03-31,"220","EWR","BOS",-5.00,-21.00,0.00,"",,,,,,
2018,2018-03-31,"207","BOS","SFO",34.00,33.00,0.00,"",33.00,0.00,0.00,0.00,0.00,
2018,2018-03-30,"2418","SFO","BOS",-2.00,-7.00,0.00,"",,,,,,
2018,2018-03-30,"2400","BOS","SFO",-7.00,-7.00,0.00,"",,,,,,
2018,2018-03-30,"2396","SFO","BOS",-5.00,-4.00,0.00,"",,,,,,
2018,2018-03-30,"2394","BOS","EWR",-9.00,-17.00,0.00,"",,,,,,
2018,2018-03-30,"2136","BOS","IAD",-2.00,3.00,0.00,"",,,,,,
2018,2018-03-30,"2047","BOS","EWR",61.00,55.00,0.00,"",0.00,0.00,55.00,0.00,0.00,
2018,2018-03-30,"2045","BOS","IAH",-2.00,-18.00,0.00,"",,,,,,
2018,2018-03-30,"2045","EWR","BOS",-6.00,22.00,0.00,"",0.00,0.00,22.00,0.00,0.00,
2018,2018-03-30,"1928","BOS","EWR",-9.00,-34.00,0.00,"",,,,,,
2018,2018-03-30,"1922","EWR","BOS",-5.00,-27.00,0.00,"",,,,,,
2018,2018-03-30,"1865","SFO","BOS",67.00,39.00,0.00,"",39.00,0.00,0.00,0.00,0.00,
2018,2018-03-30,"1823","LAX","BOS",-14.00,-29.00,0.00,"",,,,,,
2018,2018-03-30,"1719","BOS","EWR",-6.00,-22.00,0.00,"",,,,,,
2018,2018-03-30,"1699","EWR","BOS",-2.00,-3.00,0.00,"",,,,,,
2018,2018-03-30,"1666","EWR","BOS",-6.00,-21.00,0.00,"",,,,,,
2018,2018-03-30,"1630","BOS","EWR",40.00,25.00,0.00,"",0.00,0.00,25.00,0.00,0.00,
2018,2018-03-30,"1629","EWR","BOS",-3.00,-16.00,0.00,"",,,,,,
2018,2018-03-30,"1598","BOS","ORD",13.00,-6.00,0.00,"",,,,,,
2018,2018-03-30,"1578","IAH","BOS",-10.00,-47.00,0.00,"",,,,,,
2018,2018-03-30,"1564","BOS","ORD",21.00,-2.00,0.00,"",,,,,,
2018,2018-03-30,"1551","BOS","EWR",48.00,44.00,0.00,"",0.00,0.00,29.00,0.00,15.00,
2018,2018-03-30,"1505","DEN","BOS",-6.00,-21.00,0.00,"",,,,,,
2018,2018-03-30,"1425","BOS","EWR",144.00,146.00,0.00,"",0.00,0.00,146.00,0.00,0.00,
2018,2018-03-30,"1420","ORD","BOS",-11.00,-16.00,0.00,"",,,,,,
